"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"7","4760","20","3","85","0.8200000000000001","20","4","0.65","0.18","7.1000000000000005","2","4.6000000000000005","20","false","3","280","40","10","632.4863477254719","10","758.6234384977345"
"7","8710","20","15","485","0.33","20","11","0.08","0.17","5.4","1","4.7","8","true","4","380","430","10","628.9923848464454","10","744.2044911493489"
"7","8910","20","13","450","0.34","20","20","0.08","0.17","9.4","13","0.6000000000000001","31","false","4","370","415","10","624.6499826641308","10","714.4391376014872"
"8","10","20","10","225","0.71","20","4","0.67","0.13","6.7","39","4.9","42","true","5","330","85","10","740.0528520439523","10","767.9894209002601"
"8","60","20","6","420","0.15","20","4","0.28","0.02","2","14","0.6000000000000001","24","true","3","30","490","10","713.0791025052356","10","740.7168421628335"
"8","70","20","15","200","0.24","20","8","0.49","0.07","3.8000000000000003","1","0.1","5","false","4","320","460","10","668.1544505506722","10","718.8492686894012"
"8","270","20","11","415","0.8200000000000001","20","19","0.61","0.13","8.4","16","4.5","18","false","4","20","10","10","657.8055420187663","10","766.5324977903529"
"8","600","20","6","35","0.61","20","17","0.9","0","4.6","20","0.7000000000000001","43","true","2","300","410","10","643.5679278960463","10","684.9540770131382"
"8","900","20","4","420","0.01","20","8","0.39","0.02","5.3","30","0.1","29","true","5","70","30","10","628.7547676575884","10","745.3084747376042"
"8","4430","20","2","230","0.11","20","2","0.06","0.09","8.8","50","4","14","true","4","230","15","10","614.4175672049621","10","724.2119555718532"
"9","10","20","11","255","0.2","20","16","0.9500000000000001","0.07","6.1000000000000005","53","1.9000000000000001","4","true","3","40","270","10","783.4093475632578","10","823.0288358147887"
"9","20","20","18","330","0.35000000000000003","20","6","0.07","0.05","6.1000000000000005","32","2","6","true","2","370","470","10","725.2657079921877","10","726.8579052817175"
"9","60","20","2","405","0.81","20","6","0.9500000000000001","0.15","1.2","6","3.1","37","true","4","70","160","10","697.8818056847492","10","739.2880992903192"
"9","100","20","8","210","0.34","20","19","0.22","0.09","2.7","3","1.2000000000000002","23","true","1","90","195","10","679.8101579803555","10","668.9440932495869"
"9","140","20","15","90","0.84","20","4","0.38","0.05","6.4","22","1","38","true","5","180","190","10","625.7203758169161","10","752.0592220286255"
