"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","fitness","num-replicates","best-fitness-so-far","best-fitness-rechecked"
"7","4200","20","9","410","0.63","100","6","0.71","0.18","2.1","26","3.2","43","false","4","110","480","716.3987446794433","10","636.0158779169562","702.0457083001571"
"7","4210","20","9","410","0.62","100","15","0.32","0.07","2.5","5","3.3000000000000003","21","false","4","240","25","701.1040639785167","10","636.0158779169562","702.0457083001571"
"7","4220","20","14","90","0.85","100","1","0.71","0.18","7.1000000000000005","21","4","3","true","3","110","465","646.7946748501261","10","636.0158779169562","702.0457083001571"
"7","4230","20","3","85","0.45","100","4","0.7000000000000001","0.18","7.1000000000000005","19","4.3","40","true","3","320","25","744.6407420833518","10","636.0158779169562","702.0457083001571"
"7","4240","20","7","450","0.55","100","15","0.06","0.02","2.5","4","3","41","false","1","270","30","711.7967577839443","10","636.0158779169562","702.0457083001571"
"7","4250","20","13","385","0.53","100","4","0.38","0.08","2.5","25","2","12","false","3","190","75","744.7568324345773","10","636.0158779169562","702.0457083001571"
"7","4260","20","9","205","0.29","100","8","0.7000000000000001","0.07","5.4","17","3.8000000000000003","16","true","3","320","465","825.1138885756743","10","636.0158779169562","702.0457083001571"
"7","4270","20","9","410","0.63","100","6","0.47000000000000003","0.07","2.5","5","3.3000000000000003","18","false","4","240","25","629.5656829192288","10","629.5656829192288","751.1425802779264"
"7","4280","20","9","410","0.9","100","9","0.07","0.13","3.6","0","1.6","3","false","5","350","460","767.3512741306258","10","629.5656829192288","751.1425802779264"
"7","4290","20","3","150","0.45","100","12","0.8200000000000001","0.18","4.7","0","4.800000000000001","4","false","5","230","85","685.754315896376","10","629.5656829192288","751.1425802779264"
"7","4300","20","19","145","0.8200000000000001","100","4","0.7000000000000001","0.18","7.1000000000000005","29","4.6000000000000005","41","true","4","190","75","828.6898244694809","10","629.5656829192288","751.1425802779264"
"7","4310","20","2","280","0.63","100","11","0.9400000000000001","0.16","7.9","2","3.4000000000000004","3","true","3","200","335","802.6328910302067","10","629.5656829192288","751.1425802779264"
"7","4320","20","2","85","0.45","100","16","0.73","0.18","8.9","45","4.3","40","true","3","320","145","793.1725688291629","10","629.5656829192288","751.1425802779264"
"7","4330","20","9","410","0.63","100","6","0.35000000000000003","0.07","2.5","2","3.3000000000000003","18","false","4","310","310","735.4593699909542","10","629.5656829192288","751.1425802779264"
"7","4340","20","2","280","0.63","100","11","0.9400000000000001","0.19","7.1000000000000005","1","3.4000000000000004","5","true","3","200","335","775.1472172997251","10","629.5656829192288","751.1425802779264"
"7","4350","20","3","85","0.45","100","12","0.8200000000000001","0.18","4.7","0","1.6","4","false","5","160","75","754.9542909359891","10","629.5656829192288","751.1425802779264"
"7","4360","20","9","430","0.63","100","15","0.71","0.17","2.1","26","3.2","43","false","4","110","480","784.8666282058708","10","629.5656829192288","751.1425802779264"
"7","4370","20","17","475","0.6900000000000001","100","12","0.59","0.08","5.2","3","2.1","7","true","1","190","80","697.9328007014531","10","629.5656829192288","751.1425802779264"
"7","4380","20","2","470","0.63","100","16","0.01","0.02","3.7","0","1.6","3","true","4","350","450","758.1827964541354","10","629.5656829192288","751.1425802779264"
"7","4390","20","4","95","0.42","100","1","0.71","0.18","7.1000000000000005","22","2.3000000000000003","36","true","2","50","190","825.9111731726682","10","629.5656829192288","751.1425802779264"
"7","4400","20","13","410","0.54","100","4","0.7000000000000001","0.19","7.1000000000000005","34","4.6000000000000005","41","true","4","320","175","657.3452597809402","10","629.5656829192288","751.1425802779264"
"7","4410","20","14","90","0.85","100","2","0.71","0.18","2.1","21","4","43","true","1","190","80","838.1505845025865","10","629.5656829192288","751.1425802779264"
"7","4420","20","9","410","0","100","6","0.47000000000000003","0.07","2.5","5","3.2","18","false","4","240","25","733.4815391015438","10","629.5656829192288","751.1425802779264"
"7","4430","20","9","410","0.63","100","5","0.47000000000000003","0.07","2.5","5","3.3000000000000003","18","false","4","390","25","739.0218400628034","10","629.5656829192288","751.1425802779264"
"7","4440","20","9","280","0.63","100","6","0.47000000000000003","0.07","2.5","5","4.9","31","true","3","50","190","775.6899252129808","10","629.5656829192288","751.1425802779264"
"7","4450","20","2","90","0.42","100","1","0.71","0.13","7.1000000000000005","22","2.3000000000000003","15","false","4","240","25","752.3221126571019","10","629.5656829192288","751.1425802779264"
"7","4460","20","12","410","0.34","100","7","0.49","0","1","18","3.8000000000000003","40","true","1","180","335","770.037417289713","10","629.5656829192288","751.1425802779264"
"7","4470","20","7","495","0.56","100","8","0.07","0.03","7.1000000000000005","2","4.6000000000000005","45","true","3","110","165","709.3985570111138","10","629.5656829192288","751.1425802779264"
"7","4480","20","8","75","0.29","100","7","0.75","0.07","5.4","18","3.8000000000000003","16","true","3","320","190","655.5299967538222","10","629.5656829192288","751.1425802779264"
"7","4490","20","2","90","0.42","100","1","0.72","0.18","7.1000000000000005","22","2.3000000000000003","36","true","3","70","465","824.2635844506003","10","629.5656829192288","751.1425802779264"
"7","4500","20","9","410","0.33","100","7","0.54","0.15","1","17","3.8000000000000003","40","true","3","160","30","790.2905760186745","10","629.5656829192288","751.1425802779264"
"7","4510","20","6","450","0.08","100","15","0.75","0.02","2.5","27","3","38","false","1","370","130","701.5421006852473","10","629.5656829192288","751.1425802779264"
"7","4520","20","13","385","0.53","100","4","0.38","0.08","2.5","24","2","12","false","3","50","75","755.8992910609593","10","629.5656829192288","751.1425802779264"
"7","4530","20","14","150","0.36","100","14","0.71","0.18","7.1000000000000005","21","4","43","true","3","50","190","821.8485733409282","10","629.5656829192288","751.1425802779264"
"7","4540","20","9","90","0.42","100","1","0.56","0.18","8.5","21","4","3","true","3","400","465","784.9567297419619","10","629.5656829192288","751.1425802779264"
"7","4550","20","9","410","0.62","100","6","0.47000000000000003","0.06","2.4000000000000004","5","3.3000000000000003","10","true","4","310","310","818.7188587029971","10","629.5656829192288","751.1425802779264"
"7","4560","20","9","355","0.63","100","6","0.35000000000000003","0.07","2.5","2","3.3000000000000003","18","false","4","240","25","720.2679687326279","10","629.5656829192288","751.1425802779264"
"7","4570","20","8","430","0.56","100","15","0","0.02","3.7","0","3.2","43","false","4","110","480","808.585420469906","10","629.5656829192288","751.1425802779264"
"7","4580","20","9","410","0.6","100","6","0.71","0.18","2.2","26","1.6","3","false","5","350","450","749.7344883163261","10","629.5656829192288","751.1425802779264"
"7","4590","20","3","85","0.93","100","4","0.06","0.18","4.7","0","4.800000000000001","45","true","3","200","90","752.0522826395717","10","629.5656829192288","751.1425802779264"
"7","4600","20","3","85","0.45","100","11","0.8200000000000001","0.18","4.7","0","4.800000000000001","11","true","5","310","335","730.0076765017404","10","629.5656829192288","751.1425802779264"
"7","4610","20","9","335","0.34","100","7","0.49","0.15","1","18","3.8000000000000003","38","true","4","240","30","733.2277233496177","10","629.5656829192288","751.1425802779264"
"7","4620","20","8","205","0.29","100","7","0.33","0.07","2.5","5","3","36","false","3","110","130","817.3167532908017","10","629.5656829192288","751.1425802779264"
"7","4630","20","9","355","0.63","100","6","0.47000000000000003","0.07","2.5","5","3.3000000000000003","18","false","4","240","25","824.2769843972708","10","629.5656829192288","751.1425802779264"
"7","4640","20","9","410","0.34","100","8","0.49","0.15","1.3","18","3.8000000000000003","40","true","3","110","165","761.3712857332182","10","629.5656829192288","751.1425802779264"
"7","4650","20","9","450","0.6900000000000001","100","10","0.9400000000000001","0.07","5.4","39","0.7000000000000001","41","false","5","50","190","658.0059019650216","10","629.5656829192288","751.1425802779264"
"7","4660","20","2","90","0.42","100","1","0.71","0.18","7.1000000000000005","54","2.3000000000000003","36","true","2","210","85","742.7988918355084","10","629.5656829192288","751.1425802779264"
"7","4670","20","18","410","0.54","100","4","0.7000000000000001","0.13","8.9","33","4.3","41","true","1","190","80","840.7188357046886","10","629.5656829192288","751.1425802779264"
"7","4680","20","8","475","0.6900000000000001","100","12","0.58","0.08","5.2","60","2.1","7","true","5","190","80","783.0254741439487","10","629.5656829192288","751.1425802779264"
"7","4690","20","9","410","0.63","100","6","0.4","0.07","2.5","5","3.3000000000000003","18","false","4","240","25","711.2004695274028","10","629.5656829192288","751.1425802779264"
"7","4700","20","9","355","0.63","100","6","0.35000000000000003","0.07","2.5","2","3.3000000000000003","18","false","4","310","350","678.7490070197836","10","629.5656829192288","751.1425802779264"
"7","4710","20","9","490","0.6900000000000001","100","8","0.06","0.18","2.9000000000000004","5","2.8000000000000003","38","false","4","240","30","660.5811881019159","10","629.5656829192288","751.1425802779264"
"7","4720","20","9","410","0.62","100","15","0.32","0.07","2.5","5","3.3000000000000003","26","false","4","360","25","707.5289233904795","10","629.5656829192288","751.1425802779264"
"7","4730","20","2","90","0.42","100","1","0.71","0.18","7.4","22","2.3000000000000003","36","true","3","50","190","739.437866348582","10","629.5656829192288","751.1425802779264"
"7","4740","20","3","85","0.93","100","4","0.75","0.18","4.7","0","4.800000000000001","45","true","3","280","50","804.6468669800136","10","629.5656829192288","751.1425802779264"
"7","4750","20","14","90","0.85","100","1","0.71","0.18","7.1000000000000005","21","4","3","true","3","110","190","765.3778775120493","10","629.5656829192288","751.1425802779264"
"7","4760","20","9","490","0.58","100","10","0.9400000000000001","0.07","5.4","39","0.7000000000000001","41","false","4","210","85","745.0858227319633","10","629.5656829192288","751.1425802779264"
"7","4770","20","9","355","0.34","100","7","0.48","0.15","1","18","3.8000000000000003","40","true","3","110","130","818.5909391261653","10","629.5656829192288","751.1425802779264"
"7","4780","20","3","85","0.45","100","4","0.7000000000000001","0.18","7.1000000000000005","18","4.6000000000000005","39","true","1","320","25","746.5139959881079","10","629.5656829192288","751.1425802779264"
"7","4790","20","6","410","0.63","100","6","0.47000000000000003","0.07","2.5","5","3.3000000000000003","18","false","4","240","25","765.0150528087183","10","629.5656829192288","751.1425802779264"
"7","4800","20","17","480","0.9","100","12","0.59","0.03","5.2","0","2.1","7","true","1","190","95","819.7705089685429","10","629.5656829192288","751.1425802779264"
"7","4810","20","2","90","0.42","100","1","0.71","0.18","7.1000000000000005","22","2.3000000000000003","33","true","3","50","190","686.0149088473371","10","629.5656829192288","751.1425802779264"
"7","4820","20","8","205","0.29","100","6","0.75","0.17","6.6000000000000005","20","6","40","true","3","50","80","754.633100393481","10","629.5656829192288","751.1425802779264"
"7","4830","20","12","410","0.61","100","7","0.49","0","1","18","3.8000000000000003","40","true","3","110","160","607.3404892148535","10","607.3404892148535","798.6498660771452"
"7","4840","20","9","410","0.9","100","14","0.71","0.18","6.9","2","3.4000000000000004","13","true","3","120","95","759.1847377194102","10","607.3404892148535","798.6498660771452"
"7","4850","20","12","355","0.34","100","7","0.48","0","1","45","3.8000000000000003","40","true","3","400","350","760.8911600988424","10","607.3404892148535","798.6498660771452"
"7","4860","20","9","450","0.6900000000000001","100","10","0.9400000000000001","0.07","5.4","39","0.7000000000000001","41","false","5","50","65","817.2219520966167","10","607.3404892148535","798.6498660771452"
"7","4870","20","3","85","0.93","100","4","0.75","0.18","4.7","0","4.800000000000001","44","true","3","280","205","707.2104422061163","10","607.3404892148535","798.6498660771452"
"7","4880","20","19","450","0.08","100","15","0.59","0.08","5.2","3","2.1","7","true","1","190","80","764.86267549547","10","607.3404892148535","798.6498660771452"
"7","4890","20","17","475","0.74","100","12","0.75","0.02","2.5","27","3","38","false","4","370","130","737.1131054299146","10","607.3404892148535","798.6498660771452"
"7","4900","20","13","230","0.54","100","4","0.7000000000000001","0.16","7.1000000000000005","34","1.7000000000000002","41","true","1","370","130","727.3729680235301","10","607.3404892148535","798.6498660771452"
"7","4910","20","6","450","0.08","100","15","0.75","0.02","2.5","27","3","36","false","4","320","175","695.8524144148787","10","607.3404892148535","798.6498660771452"
"7","4920","20","2","90","0.42","100","1","0.71","0.18","4.7","0","4.800000000000001","11","true","5","310","335","788.9272329373789","10","607.3404892148535","798.6498660771452"
"7","4930","20","3","85","0.34","100","11","0.68","0.18","8.5","54","2.3000000000000003","36","true","2","210","85","733.9899613562478","10","607.3404892148535","798.6498660771452"
"7","4940","20","4","75","0.29","100","7","0.89","0.07","2.5","27","3","38","false","1","370","205","795.8651702835263","10","607.3404892148535","798.6498660771452"
"7","4950","20","6","450","0.08","100","15","0.75","0.02","5.4","18","3.8000000000000003","16","true","3","320","190","735.4360068679717","10","607.3404892148535","798.6498660771452"
"7","4960","20","2","410","0.63","100","7","0.39","0.07","2.5","5","3.3000000000000003","18","false","4","310","25","769.3234056355867","10","607.3404892148535","798.6498660771452"
"7","4970","20","9","410","0.54","100","4","0.7000000000000001","0.19","7.1000000000000005","34","4.6000000000000005","42","true","4","320","175","711.1052532443907","10","607.3404892148535","798.6498660771452"
"7","4980","20","2","90","0.53","100","4","0.7000000000000001","0.19","7.1000000000000005","34","4.6000000000000005","41","true","4","40","175","712.320760835774","10","607.3404892148535","798.6498660771452"
"7","4990","20","13","425","0.41000000000000003","100","1","0.71","0.15","7.1000000000000005","22","2.3000000000000003","33","true","3","190","190","792.5456486523508","10","607.3404892148535","798.6498660771452"
"7","5000","20","12","355","0.61","100","7","0.49","0","1","13","3.8000000000000003","40","true","3","110","165","712.8580543129053","10","607.3404892148535","798.6498660771452"
"7","5010","20","12","410","0.34","100","7","0.49","0","1","18","3.3000000000000003","40","true","3","110","160","819.1874677745734","10","607.3404892148535","798.6498660771452"
"7","5020","20","9","20","0.63","100","6","0.4","0.07","2.5","5","3.3000000000000003","10","false","5","50","75","773.4189259574848","10","607.3404892148535","798.6498660771452"
"7","5030","20","13","385","0.53","100","4","0.38","0.08","2.5","24","2","12","false","3","240","25","756.3150942836002","10","607.3404892148535","798.6498660771452"
"7","5040","20","9","355","0.63","100","6","0.35000000000000003","0.03","8.5","2","4.6000000000000005","45","false","3","320","150","683.1021841684512","10","607.3404892148535","798.6498660771452"
"7","5050","20","7","495","0.56","100","8","0.07","0.07","2.5","2","3.3000000000000003","18","false","4","310","350","789.636046132801","10","607.3404892148535","798.6498660771452"
"7","5060","20","9","355","0.63","100","6","0.35000000000000003","0.08","5.800000000000001","2","3.3000000000000003","18","false","4","240","25","786.463687590206","10","607.3404892148535","798.6498660771452"
"7","5070","20","17","475","0.6900000000000001","100","12","0.59","0.08","6.300000000000001","3","2.1","7","true","1","190","80","700.3916077957842","10","607.3404892148535","798.6498660771452"
"7","5080","20","9","355","0.63","100","6","0.4","0.15","1.3","18","3.8000000000000003","40","true","3","120","165","740.5216544473016","10","607.3404892148535","798.6498660771452"
