"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","fitness","num-replicates","best-fitness-so-far"
"2","430","94","14","450","0.35000000000000003","45","7","0.64","0.08","2.6","0","3","26","true","1","130","460","99","10","99"
"2","440","98","14","140","0.41000000000000003","70","6","0.39","0.02","9.1","9","4.9","15","false","1","70","10","99","10","99"
"2","450","37","14","320","0.3","73","10","0.18","0.05","6.4","54","1.1","12","true","1","340","85","99","10","99"
"2","460","68","8","130","0.73","36","0","0.98","0.02","1.7000000000000002","37","5.7","21","true","3","50","110","99","10","99"
"2","470","26","9","470","0.98","95","0","0.73","0.01","7.4","3","1.5","11","false","2","240","130","99","10","99"
"2","480","100","5","265","0","75","13","0.35000000000000003","0","9.1","30","3.2","4","true","1","40","60","99","10","99"
"2","490","11","16","55","0.67","87","10","0.85","0.14","2.7","18","2.9000000000000004","0","true","2","250","230","99","10","99"
"2","500","30","13","425","0.48","20","0","0.78","0.12","7.300000000000001","60","6.4","35","true","2","140","435","99","10","99"
"3","10","1","11","465","0.5700000000000001","70","10","0.87","0.14","4.2","11","1.1","9","true","3","140","385","99","10","99"
"3","20","43","10","480","0.71","80","8","0.2","0.18","2","43","3.5","32","false","4","300","25","99","10","99"
"3","30","59","4","65","0.99","2","9","0.99","0.03","3.2","35","5","11","false","5","250","245","99","10","99"
"3","40","53","1","395","0.26","2","14","0.15","0.16","10","26","0.7000000000000001","23","false","3","370","455","99","10","99"
"3","50","76","15","450","0.22","44","19","0.8200000000000001","0.15","4.1","44","2.2","28","true","3","340","60","99","10","99"
"3","60","84","10","300","1","3","4","0.3","0.07","3.1","6","3.1","0","false","5","230","375","99","10","99"
"3","70","17","12","470","0.78","40","17","0.52","0.12","9.5","29","0.4","18","true","4","250","225","99","10","99"
"3","80","77","17","355","0.9500000000000001","69","6","0.8200000000000001","0.15","4.2","39","5.5","3","false","5","400","60","99","10","99"
"3","90","98","19","450","0.3","4","0","0.4","0.08","3.9000000000000004","45","1.7000000000000002","4","true","4","320","105","99","10","99"
"3","100","33","9","280","0.9400000000000001","20","19","0.15","0.15","4.9","54","6.5","2","false","1","90","500","99","10","99"
"3","110","3","13","420","0.6","58","9","0.39","0.15","8.7","49","0","43","false","4","110","295","99","10","99"
"3","120","70","17","110","0.79","31","0","0.17","0.05","5.7","51","1","30","false","4","30","325","99","10","99"
"3","130","72","0","55","0.65","34","1","0.61","0.12","1.2","44","4.1000000000000005","28","true","3","0","35","99","10","99"
"3","140","37","11","55","0.72","16","6","0.73","0.01","5.2","42","5.300000000000001","19","true","1","270","110","99","10","99"
"3","150","69","14","310","0.35000000000000003","18","18","0.37","0.04","4.9","11","0.5","29","false","1","0","10","99","10","99"
"3","160","82","0","185","0.61","19","19","0.2","0.18","5.9","28","2.2","45","true","4","160","315","99","10","99"
"3","170","11","11","455","0.37","68","0","0.19","0.15","8.2","37","6.2","23","false","2","70","340","99","10","99"
"3","180","1","14","170","0.22","20","4","0.64","0.12","2.1","4","2.7","28","false","2","250","265","99","10","99"
"3","190","1","14","20","0.26","98","0","0.18","0.02","9.3","3","5.2","35","false","1","190","455","99","10","99"
"3","200","64","11","450","0.8300000000000001","65","3","0.34","0.15","1.2","34","1.3","17","false","4","110","135","99","10","99"
"3","210","37","4","435","0.67","7","5","0.53","0.16","8.7","37","0.30000000000000004","15","true","4","170","160","99","10","99"
"3","220","51","18","75","0.74","72","3","0.8200000000000001","0.18","3","41","5.6000000000000005","15","false","4","270","365","99","10","99"
"3","230","42","10","410","0.66","19","5","0.67","0.1","6.7","35","0.30000000000000004","0","false","2","80","180","99","10","99"
"3","240","40","8","165","0.53","82","17","0.14","0.1","6.7","3","2.6","8","true","3","0","80","99","10","99"
"3","250","83","8","190","0.04","63","9","0.32","0.03","2.2","15","5.9","15","true","3","210","310","99","10","99"
"3","260","56","2","235","0.33","70","2","1","0.05","4.4","4","1.2000000000000002","5","true","4","310","265","99","10","99"
"3","270","58","5","265","0.58","42","4","0.75","0.07","2.5","11","3.9000000000000004","9","false","5","120","120","99","10","99"
