"BehaviorSpace results (NetLogo 5.2.1)"
"boxes_bots_FinalCode.nlogo"
"total-time"
"07/26/2016 17:26:08:652 +0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-41","41","-22","22"
"[run number]","number-of-boxes","charging-area-radius","target-area-radius","transfer-energy-amount","number-of-bots","show-energy?","maximum-charging-distance","unloaded-step-length","max-wiggle-angle","energy-decrement","loaded-step-length","vision-range","vision-angle","minimum-energy","minimum-charging-energy","grab-range","[step]","total-time"
"84","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","6994","6994"
"83","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","9766","9766"
"86","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7251","7251"
"85","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8617","8617"
"88","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","6629","6629"
"89","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7372","7372"
"87","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","9990","9990"
"90","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","11195","11195"
"91","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7779","7779"
"93","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7951","7951"
"92","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","10087","10087"
"94","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8338","8338"
"96","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8880","8880"
"95","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","9639","9639"
"97","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8705","8705"
"98","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8173","8173"
"99","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7841","7841"
"100","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","10787","10787"
