"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"9","20","36","6","35","0.87","52","0","0.85","0.06","5.2","25","3.7","28","true","4","370","110","10","760.5083411754556","10","697.1115217069388"
"9","30","27","17","0","0.98","48","5","0.84","0.17","6.9","11","1.1","28","false","3","180","275","10","756.7862395414807","10","752.0985194220036"
"9","40","82","11","205","0.67","31","19","0.65","0.11","4.9","25","4.7","22","true","5","240","85","10","726.9031911719017","10","650.9235532889863"
"9","60","7","4","35","0.3","12","2","0.8","0.19","8.7","21","3","26","false","5","300","95","10","699.533250684194","10","747.6319749317711"
"9","250","67","6","410","0.65","33","16","1","0.16","3.4000000000000004","52","4.800000000000001","29","true","3","350","335","10","684.7512076590249","10","780.3128463255595"
"9","810","51","12","195","0.49","28","17","0.6900000000000001","0.15","1","37","5.5","23","false","5","90","455","10","679.1026169915804","10","729.7670054135837"
"9","850","5","0","325","0.22","73","14","0.25","0.02","1.3","34","0.30000000000000004","3","true","3","230","345","10","669.88869340166","10","670.4231252723808"
"9","990","6","2","310","0.32","28","0","0.61","0.18","9.3","55","3.8000000000000003","20","true","4","100","455","10","662.2089169769117","10","742.5352609505965"
"9","1740","6","16","185","0.28","94","13","0.21","0.19","4.9","51","4.800000000000001","28","true","3","180","275","10","641.015220988659","10","762.9927828193058"
"9","3360","72","4","500","0.15","85","11","0.43","0.14","6.7","44","3.8000000000000003","8","false","2","90","130","10","637.5982633524981","10","833.0001942082818"
"9","5950","68","15","410","0","3","15","0.13","0.16","3.6","11","0","31","false","3","90","90","10","634.3328109411901","10","793.0596508628979"
"9","9880","68","13","0","0.37","29","5","0.97","0.18","4.9","44","6.300000000000001","2","false","3","0","110","10","621.4243601591036","10","751.7835496338841"
"10","10","88","15","420","0.17","48","20","0.9400000000000001","0.04","5.2","33","2","20","false","3","160","445","10","752.0621843043842","10","754.9637233342386"
"10","20","3","13","70","0.25","30","1","0.74","0.16","4.2","0","1.8","31","true","3","0","465","10","713.8422677618775","10","706.7554399213664"
"10","110","28","15","370","0.92","74","7","0.34","0.15","2.8","2","0.30000000000000004","40","true","3","140","100","10","697.5762508425615","10","746.5642298785997"
"10","120","54","4","450","0.34","61","12","0.19","0.13","2","12","6.300000000000001","20","false","1","0","150","10","669.7966044818719","10","745.4625651271227"
"10","770","61","17","420","0.15","31","9","0.15","0.12","2","0","1.5","18","false","4","30","60","10","646.9040929577291","10","737.0564484337382"
"10","910","54","4","185","0.35000000000000003","61","19","0.19","0.13","1.9","12","6.300000000000001","20","false","1","90","10","10","646.709151086479","10","687.9137068697482"
"10","1690","20","1","300","0.61","78","14","0.07","0.14","1.6","29","1.6","14","false","4","300","495","10","628.5378609835117","10","765.3667908416079"
"10","2830","29","8","145","0.84","85","2","0.3","0.12","4","1","4.4","7","false","3","320","285","10","623.1773388480502","10","736.0046648488366"
"10","3020","29","8","145","0.84","88","2","0.3","0.12","4","41","2.8000000000000003","1","false","1","110","90","10","616.4728478886798","10","668.9491878499872"
"10","4770","30","7","130","0.9","70","8","0.9","0.1","3.1","41","1.6","38","false","3","360","285","10","602.1114573223693","10","742.731751631031"
