"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","fitness","num-replicates","best-fitness-so-far"
"2","240","58","18","35","0.91","51","11","0.86","0.1","6.7","37","1.6","4","false","3","220","60","714.2397517719089","10","664.9066329340324"
"2","250","40","12","55","0.45","10","9","0.62","0.14","7.4","42","2.9000000000000004","38","false","1","0","95","766.2873119411112","10","664.9066329340324"
"2","260","33","5","135","0.23","4","11","0.26","0.1","7.300000000000001","60","5.7","28","true","1","320","300","771.181730322992","10","664.9066329340324"
"2","270","11","3","425","0.04","32","19","0.85","0.08","6.2","27","2","43","false","5","300","325","724.8046922461405","10","664.9066329340324"
"2","280","41","4","275","0.41000000000000003","30","2","0.9400000000000001","0.17","4.7","19","0.2","23","false","2","390","140","782.7364063082475","10","664.9066329340324"
"2","290","78","6","330","0.56","13","4","0","0.15","9.4","50","3","38","true","5","0","150","663.309012863612","10","663.309012863612"
"2","300","6","14","350","0.66","3","10","0.16","0.1","2.6","19","5.9","28","false","4","20","45","757.6205568302732","10","663.309012863612"
"2","310","16","15","260","0.62","88","10","0.07","0.05","4.9","1","0.7000000000000001","0","false","3","250","310","690.9427948667909","10","663.309012863612"
"2","320","67","10","410","0.9500000000000001","97","0","0.19","0.05","8.8","35","2.9000000000000004","0","false","4","310","400","696.3517079252672","10","663.309012863612"
"2","330","22","4","75","0.75","36","0","0.45","0.05","6","30","1.2000000000000002","10","true","5","90","150","801.8754039588079","10","663.309012863612"
"2","340","83","7","90","0.16","83","10","0.79","0.01","1.6","0","3.5","16","true","1","120","295","768.2638681164424","10","663.309012863612"
"2","350","5","0","275","0.31","47","9","0.07","0.12","4.9","20","5.300000000000001","33","true","2","330","425","782.4246762146706","10","663.309012863612"
"2","360","3","11","45","0.07","58","0","0.67","0.17","4.1","23","6","28","false","5","270","375","689.4064005381089","10","663.309012863612"
"2","370","8","3","275","0","96","3","0.7000000000000001","0.13","2.8","42","5.7","40","false","3","340","470","745.6331646644455","10","663.309012863612"
"2","380","25","0","55","0.52","46","2","0.37","0.1","6.4","58","5.800000000000001","13","false","5","380","260","778.8831344267088","10","663.309012863612"
"2","390","55","5","75","0.78","75","7","0.79","0.15","4.2","8","6.1000000000000005","24","false","4","50","140","764.0381141100836","10","663.309012863612"
"2","400","90","11","205","0.58","96","6","0.58","0.1","4.9","23","6.1000000000000005","41","false","5","0","25","788.8866973127444","10","663.309012863612"
"2","410","11","6","75","0.13","50","5","0.8200000000000001","0.09","5.7","15","2.8000000000000003","33","true","5","320","10","701.8906057699052","10","663.309012863612"
"2","420","62","15","320","0.6","36","17","0.07","0.07","10","36","5.5","20","true","1","250","270","804.6084605967633","10","663.309012863612"
"2","430","94","14","450","0.35000000000000003","45","7","0.64","0.08","2.6","0","3","26","true","1","130","460","780.4408470746274","10","663.309012863612"
"2","440","98","14","140","0.41000000000000003","70","6","0.39","0.02","9.1","9","4.9","15","false","1","70","10","705.4233002165854","10","663.309012863612"
"2","450","37","14","320","0.3","73","10","0.18","0.05","6.4","54","1.1","12","true","1","340","85","676.281707716558","10","663.309012863612"
"2","460","68","8","130","0.73","36","0","0.98","0.02","1.7000000000000002","37","5.7","21","true","3","50","110","779.2950490742903","10","663.309012863612"
"2","470","26","9","470","0.98","95","0","0.73","0.01","7.4","3","1.5","11","false","2","240","130","729.4410696161407","10","663.309012863612"
"2","480","100","5","265","0","75","13","0.35000000000000003","0","9.1","30","3.2","4","true","1","40","60","737.3524888806111","10","663.309012863612"
"2","490","11","16","55","0.67","87","10","0.85","0.14","2.7","18","2.9000000000000004","0","true","2","250","230","766.0352498424098","10","663.309012863612"
"2","500","30","13","425","0.48","20","0","0.78","0.12","7.300000000000001","60","6.4","35","true","2","140","435","737.2122252205146","10","663.309012863612"
"3","10","1","11","465","0.5700000000000001","70","10","0.87","0.14","4.2","11","1.1","9","true","3","140","385","784.190151069458","10","784.190151069458"
"3","20","43","10","480","0.71","80","8","0.2","0.18","2","43","3.5","32","false","4","300","25","748.855030950723","10","748.855030950723"
"3","30","59","4","65","0.99","2","9","0.99","0.03","3.2","35","5","11","false","5","250","245","693.7123633507694","10","693.7123633507694"
